@relation dados

@attribute loja {SantanaShopping, PinheirosShopping}
@attribute mes {Fevereiro, Marco}
@attribute hora {Manha, Tarde, Noite}
@attribute fluxo {SemFluxo, FluxoBaixo, FluxoModerado, FluxoAlto}
@attribute fluxoVitrine {VitrineNenhumMovimento, VitrineBaixo, VitrineMedio, VitrineAlto}
@attribute temperatura {Frio, Normal, Quente}
@attribute chuva {MuitaChuva,Chuva,Sol}
@attribute atendimento {Nenhum,1-5,6-10,11-14,15-19}

@data
SantanaShopping,Fevereiro,Noite,FluxoModerado,VitrineMedio,Quente,Sol,1-5
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Normal,Sol,1-5
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineMedio,Frio,Sol,1-5
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Quente,Sol,6-10
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Normal,Chuva,11-14
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Frio,Chuva,1-5
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineMedio,Frio,Chuva,1-5
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineMedio,Frio,Sol,1-5
SantanaShopping,Marco,Noite,FluxoModerado,VitrineMedio,Normal,Sol,1-5
SantanaShopping,Marco,Noite,FluxoModerado,VitrineMedio,Quente,Sol,1-5
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineMedio,Quente,Sol,1-5
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineMedio,Quente,Sol,1-5
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineMedio,Frio,Sol,1-5
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineMedio,Quente,Sol,6-10
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Quente,Sol,6-10
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineMedio,Frio,Sol,1-5
SantanaShopping,Marco,Noite,FluxoModerado,VitrineMedio,Normal,Sol,1-5
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Quente,Sol,1-5
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineMedio,Quente,Sol,1-5
SantanaShopping,Marco,Noite,FluxoBaixo,VitrineMedio,Quente,Chuva,Nenhum
SantanaShopping,Fevereiro,Noite,FluxoModerado,VitrineMedio,Quente,Sol,1-5
SantanaShopping,Fevereiro,Noite,FluxoModerado,VitrineMedio,Quente,Sol,1-5
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Frio,MuitaChuva,1-5
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Frio,MuitaChuva,11-14
SantanaShopping,Marco,Noite,FluxoModerado,VitrineMedio,Quente,Chuva,1-5
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Quente,Sol,6-10
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Frio,MuitaChuva,6-10
PinheirosShopping,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Normal,Chuva,1-5
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Frio,Chuva,6-10
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineMedio,Frio,Chuva,6-10
SantanaShopping,Marco,Noite,FluxoModerado,VitrineMedio,Quente,Sol,1-5
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Normal,Sol,6-10
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Normal,Sol,1-5
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Normal,MuitaChuva,1-5
SantanaShopping,Marco,Noite,FluxoModerado,VitrineMedio,Frio,MuitaChuva,1-5
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineMedio,Normal,Chuva,1-5
